,.I,.T,.A,.W,.B
1260,1261.0,model simul digit network,larsen  mano ,comput provid engin effect mean analyz quantiz logic behavior set depend time independ boolean transform describ input output relationship element compris mode util fortran iv system simul discus illustr simplic deriv common model techniqu applic combin sequenti digit network systemat program approach,1965-05-01
1261,1262.0,procedur orient languag statement facilit parallel process,opler ,two suggest allow programm write procedur orient languag indic section program execut hold serv bracket establish oper partli defin parallel path within rang togeth may nest statement particularli effect use devic capabl attain degre comput overlap,1965-05-01
1262,1263.0,metalanguag syntax specif,burkhardt ,two metalanguag describ one suffici specif algol syntax addit metaoper adequ use formal tabl descript basic fortran,1965-05-01
1263,1264.0,blnsi one thousand four hundr one oper system braill capabl,landwehr  mclaughlin  mueller  lichstein  pollack ,blnsi oper design k four hundr one common option featur two attach drive print either english even though write small machin minim peripher equip job may handl lose process time minimum perform follow specifi function assembl sp sourc post produc condens user punch provid storag dump program submit execut uncondens object deck debug trace control card convers braill list seven thousand forti ibsi batch output updat duplic tape input ouput subroutin also includ system,1965-05-01
1264,1265.0,rel effici context free grammar recogn,griffiths  petrick ,number diver propos par sentenc respect context free describ paper mean common devic defin give algorithm obtain nondeterminist ture machin recogn equival give context free formal ture machin chosen possibl particularli simpl descript par procedur consid attempt compar effici procedur defin simpl sentenc formal comparison make empir comparison recognit realist program languag lisp algol make mean program simul ture machin univac four hundr sixti comput sever algorithm produc grammar equival give context free grammar consid increas recognit effici afford empir investig,1965-05-01
1265,1266.0,consider relat purpos fortran standard appendix asa fortran standard,,,1965-05-01
1266,1267.0,perform system use data transmiss transfer rate inform bit asa tutori standard,,thruput characterist system perform discuss discus includ pertin aspect transfer determin transfer bit trib residu error standard measur condit paper also present orderli arrang characterist paramet affect inform thruput exampl procedur determin thruput term trib conclud perform characterist involv inform rate best express trib conjunct residu error rate,1965-05-01
1267,1268.0,logarithm complex number algorithm two hundr forti three b three,boothroyd ,,1965-05-01
1268,1269.0,comput fourier coeffici algorithm c six,teijelo ,,1965-05-01
1269,1270.0,algol educ automat grade program,forsythe  wirth ,two present evalu student algol one beginn furnish random data check answer provid search test reliabl effici integr procedur statement essenti properti comput system order grader program effect use,1965-05-01
1270,1271.0,secondari key retriev use ibm seven thousand nineti one thousand three hundr one system,davis  lin ,key retriev method involv prepar secondari storag data search satisfi logic oper appropri list produc complet set address primari record relev request experiment result present compar analysi give,1965-04-01
1271,1272.0,expand edit function languag data process,doule ,abstract citat index mechan translat procedur requir whenev automat method leav someth desir paper discus economi function amount condens text languag oper contend regard rather unwelcom necess goe beyond mere correct improv exemplifi use concord prepar survey articl lectur opportun heavi edit chief among interpret expans output process factor analysi applic describ quick unbias evalu larg volum incom mail telegram yield summari report possibl either human comput produc alon,1965-04-01
1272,1273.0,remark romberg quadratur,krasun  prager ,modifi form romberg quadratur describ less sensit accumul round error customari one,1965-04-01
1273,1274.0,numer solut n point boundari valu problem linear ordinari differenti equat,day ,numer point boundari valu problem homogen ordinari differenti develop method requir two rung kutta integr interv consider solut linear system equat n one unknown,1965-04-01
1274,1275.0,code structur protect manipul variabl length item corrigendum,ramamoorthy ,,1965-04-01
1275,1276.0,still anoth use fortran ii chain,,,1965-04-01
1276,1277.0,use cobol subroutin fortran main program,tajiri ,,1965-04-01
1277,1278.0,wengert numer method partial deriv orbit determin quasilinear,bellman  kagiwada  kalaba ,recent articl commun acm r suggest techniqu machin function give solv non linear boundari valu problem use quasilinear mani partial deriv must form analyt evalu numer wengert method appear attract program viewpoint equat might otherwis undertaken,1965-04-01
1278,1279.0,use condit base number system encod sequenc correl charact,brown ,describ rel effici encod charact predecessor successor select rule procedur show assign uniqu integ sequenc gener reason compact set valu,1965-04-01
1279,1280.0,numer integr differenti differ equat decreas time lag,bellman  buell  kalaba ,system time occurr biolog flow rate common extens bodi knowledg exist concern effect variabl caus show method reduc differ ordinari differenti equat numer ea subsequ studi deal situat multipl lag depend solut present,1965-04-01
1280,1281.0,data input question answer,pyle ,scheme share describ paper instead use format statement determin ask requir one time comput convers user process check error provid standard data allow edit valu input,1965-04-01
1281,1282.0,use fortran subroutin cobol main program,shavell ,proper code account differ storag alloc librari routin two possibl write fortran iv subroutin may call cobol main program techniqu enabl programm take advantag use properti languag minim respect disadvantag,1965-04-01
1282,1283.0,matrix invers algorithm two hundr thirti one f one,ferring ,,1965-04-01
1283,1284.0,bessel function set integ order,stafford ,,1965-04-01
1284,1285.0,eigenvalu eigenvector real symmetr matrix qr method algorithm two hundr fifti four f two,businger ,,1965-04-01
1285,1286.0,eigenvalu real symmetr matrix qr method algorithm two hundr fifti three f two,businger ,,1965-04-01
1286,1287.0,vector coupl clebsch gordan coeffici algorithm two hundr fifti two z,gunn ,,1965-04-01
